Labels,50-2,
Type,Emission Scan,
Comment,,
Start,1200.00,
Stop,1650.00,
Step,1.00,
Fixed/Offset,410.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,5.4999132,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,5.7000065,
Detector,Det2,

1200.00,4.09962128E+2,
1201.000,4.17771454E+2,
1202.000,4.27364868E+2,
1203.000,4.20522614E+2,
1204.000,4.76806244E+2,
1205.000,4.66685059E+2,
1206.000,4.64246552E+2,
1207.000,4.97082184E+2,
1208.000,4.89045441E+2,
1209.000,4.96977295E+2,
1210.00,5.11785736E+2,
1211.000,5.21100708E+2,
1212.000,5.37099792E+2,
1213.000,5.51441956E+2,
1214.000,5.61800781E+2,
1215.000,5.65158203E+2,
1216.000,5.47321777E+2,
1217.000,5.85534119E+2,
1218.000,6.31250183E+2,
1219.000,6.16793762E+2,
1220.00,6.57388184E+2,
1221.000,6.52213623E+2,
1222.000,6.92691589E+2,
1223.000,6.56436646E+2,
1224.000,6.70767151E+2,
1225.000,6.96455383E+2,
1226.000,6.98124390E+2,
1227.000,7.24649597E+2,
1228.000,7.54902832E+2,
1229.000,8.05607300E+2,
1230.00,7.83950195E+2,
1231.000,7.94597778E+2,
1232.000,8.31729492E+2,
1233.000,8.38755310E+2,
1234.000,8.61684326E+2,
1235.000,8.82386047E+2,
1236.000,8.61427368E+2,
1237.000,9.09669067E+2,
1238.000,9.59673157E+2,
1239.000,9.34330627E+2,
1240.00,9.90715271E+2,
1241.000,9.86891113E+2,
1242.000,1.00776251E+3,
1243.000,1.04452478E+3,
1244.000,1.04973047E+3,
1245.000,1.10525684E+3,
1246.000,1.12359375E+3,
1247.000,1.09599731E+3,
1248.000,1.14236902E+3,
1249.000,1.17351099E+3,
1250.00,1.23378967E+3,
1251.000,1.24395776E+3,
1252.000,1.21518311E+3,
1253.000,1.26412122E+3,
1254.000,1.30240747E+3,
1255.000,1.29641345E+3,
1256.000,1.35779785E+3,
1257.000,1.39434875E+3,
1258.000,1.42200391E+3,
1259.000,1.43291748E+3,
1260.00,1.43237964E+3,
1261.000,1.54152112E+3,
1262.000,1.51376392E+3,
1263.000,1.56871948E+3,
1264.000,1.60568262E+3,
1265.000,1.60824023E+3,
1266.000,1.65017334E+3,
1267.000,1.63596606E+3,
1268.000,1.76061560E+3,
1269.000,1.77249854E+3,
1270.00,1.82602686E+3,
1271.000,1.83879724E+3,
1272.000,1.88756140E+3,
1273.000,1.91926904E+3,
1274.000,1.97479150E+3,
1275.000,1.97756494E+3,
1276.000,2.06855762E+3,
1277.000,2.09634326E+3,
1278.000,2.18627002E+3,
1279.000,2.21630029E+3,
1280.00,2.29195239E+3,
1281.000,2.30540308E+3,
1282.000,2.33825903E+3,
1283.000,2.37734277E+3,
1284.000,2.42316992E+3,
1285.000,2.48190967E+3,
1286.000,2.55140845E+3,
1287.000,2.57939526E+3,
1288.000,2.63871191E+3,
1289.000,2.74484863E+3,
1290.00,2.79971924E+3,
1291.000,2.82608618E+3,
1292.000,2.91071533E+3,
1293.000,2.97837329E+3,
1294.000,3.01479370E+3,
1295.000,3.06913721E+3,
1296.000,3.17968164E+3,
1297.000,3.18536255E+3,
1298.000,3.27687329E+3,
1299.000,3.33958105E+3,
1300.00,3.41807031E+3,
1301.000,3.45551978E+3,
1302.000,3.51358862E+3,
1303.000,3.61429468E+3,
1304.000,3.67091748E+3,
1305.000,3.76362012E+3,
1306.000,3.86506079E+3,
1307.000,3.94757764E+3,
1308.000,4.02747852E+3,
1309.000,4.09203027E+3,
1310.00,4.15923340E+3,
1311.000,4.24499609E+3,
1312.000,4.34172949E+3,
1313.000,4.39587793E+3,
1314.000,4.48200195E+3,
1315.000,4.58764600E+3,
1316.000,4.71660107E+3,
1317.000,4.70303320E+3,
1318.000,4.88829736E+3,
1319.000,4.93345410E+3,
1320.00,5.05291455E+3,
1321.000,5.17912012E+3,
1322.000,5.26909961E+3,
1323.000,5.34169824E+3,
1324.000,5.43354248E+3,
1325.000,5.56058691E+3,
1326.000,5.68865234E+3,
1327.000,5.76621875E+3,
1328.000,5.83012207E+3,
1329.000,5.94529395E+3,
1330.00,6.00058057E+3,
1331.000,6.18392676E+3,
1332.000,6.30923730E+3,
1333.000,6.44904248E+3,
1334.000,6.52556006E+3,
1335.000,6.64898828E+3,
1336.000,6.82726318E+3,
1337.000,6.94249414E+3,
1338.000,7.01849121E+3,
1339.000,7.15564600E+3,
1340.00,7.18297998E+3,
1341.000,7.43758691E+3,
1342.000,7.51681689E+3,
1343.000,7.73518213E+3,
1344.000,7.77005029E+3,
1345.000,7.96328613E+3,
1346.000,8.13624414E+3,
1347.000,8.25302637E+3,
1348.000,8.39634668E+3,
1349.000,8.52693262E+3,
1350.00,8.65815918E+3,
1351.000,8.79842578E+3,
1352.000,9.03462988E+3,
1353.000,9.11936230E+3,
1354.000,9.36613281E+3,
1355.000,9.74669043E+3,
1356.000,9.98630273E+3,
1357.000,9.86640430E+3,
1358.000,9.86830957E+3,
1359.000,1.01443877E+4,
1360.00,1.04037188E+4,
1361.000,1.08235107E+4,
1362.000,1.12334814E+4,
1363.000,1.10133193E+4,
1364.000,1.07739365E+4,
1365.000,1.12085801E+4,
1366.000,1.11059248E+4,
1367.000,1.11677598E+4,
1368.000,1.18229453E+4,
1369.000,1.18405000E+4,
1370.00,1.19990234E+4,
1371.000,1.20730645E+4,
1372.000,1.23344316E+4,
1373.000,1.22421084E+4,
1374.000,1.22009697E+4,
1375.000,1.25464072E+4,
1376.000,1.29193057E+4,
1377.000,1.31523643E+4,
1378.000,1.34577695E+4,
1379.000,1.34119121E+4,
1380.00,1.41027119E+4,
1381.000,1.44720898E+4,
1382.000,1.43846885E+4,
1383.000,1.45920195E+4,
1384.000,1.42591875E+4,
1385.000,1.38566729E+4,
1386.000,1.36893574E+4,
1387.000,1.39790020E+4,
1388.000,1.46050010E+4,
1389.000,1.44289238E+4,
1390.00,1.42682637E+4,
1391.000,1.45949854E+4,
1392.000,1.53272676E+4,
1393.000,1.53117705E+4,
1394.000,1.52584326E+4,
1395.000,1.59997686E+4,
1396.000,1.64090566E+4,
1397.000,1.61492617E+4,
1398.000,1.55988965E+4,
1399.000,1.60191270E+4,
1400.00,1.71971445E+4,
1401.000,1.76914883E+4,
1402.000,1.69668926E+4,
1403.000,1.67024160E+4,
1404.000,1.75213047E+4,
1405.000,1.83098223E+4,
1406.000,1.81559824E+4,
1407.000,1.81796055E+4,
1408.000,1.85907441E+4,
1409.000,1.86186934E+4,
1410.00,1.89768750E+4,
1411.000,1.88277871E+4,
1412.000,1.88677734E+4,
1413.000,1.91208184E+4,
1414.000,1.97882246E+4,
1415.000,2.00887324E+4,
1416.000,1.97919785E+4,
1417.000,1.98475410E+4,
1418.000,2.03126523E+4,
1419.000,2.07107656E+4,
1420.00,2.11159805E+4,
1421.000,2.09377344E+4,
1422.000,2.10331660E+4,
1423.000,2.14746250E+4,
1424.000,2.18694199E+4,
1425.000,2.18410215E+4,
1426.000,2.19059570E+4,
1427.000,2.21057070E+4,
1428.000,2.23751094E+4,
1429.000,2.26698574E+4,
1430.00,2.26794590E+4,
1431.000,2.30602754E+4,
1432.000,2.33550195E+4,
1433.000,2.34416133E+4,
1434.000,2.36631895E+4,
1435.000,2.38160840E+4,
1436.000,2.37694785E+4,
1437.000,2.42494883E+4,
1438.000,2.44043203E+4,
1439.000,2.45868926E+4,
1440.00,2.47953008E+4,
1441.000,2.48740273E+4,
1442.000,2.51241543E+4,
1443.000,2.53136523E+4,
1444.000,2.53049023E+4,
1445.000,2.55561055E+4,
1446.000,2.62519316E+4,
1447.000,2.61563945E+4,
1448.000,2.60965547E+4,
1449.000,2.61915547E+4,
1450.00,2.64617090E+4,
1451.000,2.68066992E+4,
1452.000,2.67474297E+4,
1453.000,2.69560137E+4,
1454.000,2.69897539E+4,
1455.000,2.73181699E+4,
1456.000,2.76814473E+4,
1457.000,2.77285918E+4,
1458.000,2.77535059E+4,
1459.000,2.81619414E+4,
1460.00,2.81769648E+4,
1461.000,2.84932754E+4,
1462.000,2.85653535E+4,
1463.000,2.85506465E+4,
1464.000,2.88192383E+4,
1465.000,2.89216035E+4,
1466.000,2.93873789E+4,
1467.000,2.93344023E+4,
1468.000,2.93608945E+4,
1469.000,2.96927637E+4,
1470.00,2.99719277E+4,
1471.000,3.02124609E+4,
1472.000,3.02743223E+4,
1473.000,3.03450840E+4,
1474.000,3.02893145E+4,
1475.000,3.04900625E+4,
1476.000,3.05942559E+4,
1477.000,3.10393457E+4,
1478.000,3.12753184E+4,
1479.000,3.10319844E+4,
1480.00,3.12488457E+4,
1481.000,3.13884141E+4,
1482.000,3.15012832E+4,
1483.000,3.16322559E+4,
1484.000,3.17211367E+4,
1485.000,3.19018770E+4,
1486.000,3.19407949E+4,
1487.000,3.21802441E+4,
1488.000,3.23889668E+4,
1489.000,3.24319434E+4,
1490.00,3.24284902E+4,
1491.000,3.25686406E+4,
1492.000,3.27344688E+4,
1493.000,3.29095469E+4,
1494.000,3.29752305E+4,
1495.000,3.31943086E+4,
1496.000,3.31277617E+4,
1497.000,3.33316523E+4,
1498.000,3.34794180E+4,
1499.000,3.34250781E+4,
1500.00,3.35475273E+4,
1501.000,3.35795547E+4,
1502.000,3.38108789E+4,
1503.000,3.39133555E+4,
1504.000,3.38082422E+4,
1505.000,3.41225000E+4,
1506.000,3.39518281E+4,
1507.000,3.41911016E+4,
1508.000,3.42715117E+4,
1509.000,3.45732305E+4,
1510.00,3.44742617E+4,
1511.000,3.42814336E+4,
1512.000,3.45583398E+4,
1513.000,3.47106406E+4,
1514.000,3.47593984E+4,
1515.000,3.45664375E+4,
1516.000,3.47443438E+4,
1517.000,3.46416328E+4,
1518.000,3.48694883E+4,
1519.000,3.45318906E+4,
1520.00,3.46638516E+4,
1521.000,3.49498086E+4,
1522.000,3.49829609E+4,
1523.000,3.53357266E+4,
1524.000,3.50616875E+4,
1525.000,3.50770664E+4,
1526.000,3.53883594E+4,
1527.000,3.49880977E+4,
1528.000,3.51686406E+4,
1529.000,3.50063789E+4,
1530.00,3.51517969E+4,
1531.000,3.51508242E+4,
1532.000,3.54389102E+4,
1533.000,3.50804531E+4,
1534.000,3.51384531E+4,
1535.000,3.52727344E+4,
1536.000,3.53264297E+4,
1537.000,3.53084414E+4,
1538.000,3.54106016E+4,
1539.000,3.53764805E+4,
1540.00,3.50883984E+4,
1541.000,3.51853320E+4,
1542.000,3.54244141E+4,
1543.000,3.50480195E+4,
1544.000,3.51681016E+4,
1545.000,3.51250273E+4,
1546.000,3.51145625E+4,
1547.000,3.51404766E+4,
1548.000,3.51939688E+4,
1549.000,3.48368984E+4,
1550.00,3.53230039E+4,
1551.000,3.48309492E+4,
1552.000,3.52496211E+4,
1553.000,3.47573359E+4,
1554.000,3.49731992E+4,
1555.000,3.46822109E+4,
1556.000,3.45069023E+4,
1557.000,3.49338594E+4,
1558.000,3.44938750E+4,
1559.000,3.46143477E+4,
1560.00,3.46923203E+4,
1561.000,3.46413320E+4,
1562.000,3.41294727E+4,
1563.000,3.43008906E+4,
1564.000,3.42597148E+4,
1565.000,3.44404102E+4,
1566.000,3.43151055E+4,
1567.000,3.43392891E+4,
1568.000,3.41515156E+4,
1569.000,3.38101289E+4,
1570.00,3.41006992E+4,
1571.000,3.39280313E+4,
1572.000,3.39649258E+4,
1573.000,3.39499961E+4,
1574.000,3.39113008E+4,
1575.000,3.36234063E+4,
1576.000,3.35486367E+4,
1577.000,3.35624336E+4,
1578.000,3.34096445E+4,
1579.000,3.32616836E+4,
1580.00,3.34134883E+4,
1581.000,3.34075742E+4,
1582.000,3.30598047E+4,
1583.000,3.32046367E+4,
1584.000,3.33278203E+4,
1585.000,3.28328203E+4,
1586.000,3.28646953E+4,
1587.000,3.27197734E+4,
1588.000,3.26342793E+4,
1589.000,3.25253105E+4,
1590.00,3.26679570E+4,
1591.000,3.25301387E+4,
1592.000,3.24866738E+4,
1593.000,3.22410469E+4,
1594.000,3.23221582E+4,
1595.000,3.22546328E+4,
1596.000,3.22084727E+4,
1597.000,3.18716641E+4,
1598.000,3.17061602E+4,
1599.000,3.16211035E+4,
1600.00,3.17238555E+4,
1601.000,3.16397734E+4,
1602.000,3.16186855E+4,
1603.000,3.17028438E+4,
1604.000,3.13111445E+4,
1605.000,3.14818418E+4,
1606.000,3.10106680E+4,
1607.000,3.09739180E+4,
1608.000,3.08898262E+4,
1609.000,3.05175996E+4,
1610.00,3.05613164E+4,
1611.000,3.06466758E+4,
1612.000,3.03797969E+4,
1613.000,3.06409688E+4,
1614.000,3.04421523E+4,
1615.000,3.03966758E+4,
1616.000,3.03042695E+4,
1617.000,3.03101953E+4,
1618.000,3.03814336E+4,
1619.000,2.97767891E+4,
1620.00,2.99875352E+4,
1621.000,3.00405508E+4,
1622.000,2.99329355E+4,
1623.000,2.99562285E+4,
1624.000,2.98468887E+4,
1625.000,2.98099844E+4,
1626.000,2.96774316E+4,
1627.000,2.97772559E+4,
1628.000,2.94426348E+4,
1629.000,2.93437656E+4,
1630.00,2.96180215E+4,
1631.000,2.93536133E+4,
1632.000,2.96427832E+4,
1633.000,2.93691543E+4,
1634.000,2.93578496E+4,
1635.000,2.91796875E+4,
1636.000,2.94705938E+4,
1637.000,2.95021563E+4,
1638.000,2.91411406E+4,
1639.000,2.96122773E+4,
1640.00,2.94281641E+4,
1641.000,2.91234219E+4,
1642.000,2.91146484E+4,
1643.000,2.90436250E+4,
1644.000,2.90919141E+4,
1645.000,2.87397539E+4,
1646.000,2.88248613E+4,
1647.000,2.83808418E+4,
1648.000,2.84570840E+4,
1649.000,2.80125215E+4,
1650.00,2.80659219E+4,
